x,y,thickness
0.247351732,0.288054009,3.18E-08
0.24767064,0.317402399,3.18E-08
0.098246262,0.046681719,3.18E-08
0.11605895,0.0352171,3.18E-08
0.122306412,0.061197819,3.18E-08
0.8354949,0.5909183,3.18E-08
0.827397753,0.619811796,3.18E-08
0.269864962,0.325095453,3.18E-08
0.247437123,0.340646523,3.18E-08
0.022989112,0.25218263,3.18E-08
0,0.23890986,3.18E-08
0.022989112,0.22563709,3.18E-08
0.130553211,0.220677551,3.18E-08
0.155249136,0.221567221,3.18E-08
0.149413808,0.243300179,3.18E-08
0.154529998,0.265591672,3.18E-08
0.129834074,0.264702002,3.18E-08
0.079991709,0.072346968,3.18E-08
0.073744246,0.046366249,3.18E-08
0.552583887,0.599920438,3.18E-08
0.582643108,0.599941919,3.18E-08
0.566043674,0.619170318,3.18E-08
0.507859427,0.631003909,3.18E-08
0.4806505,0.613830616,3.18E-08
0.508775526,0.601975544,3.18E-08
0.406461194,0.593286826,3.18E-08
0.408423934,0.563873401,3.18E-08
0.504693192,0.542520332,3.18E-08
0.503995585,0.572003426,3.18E-08
0.234517999,0.414612033,3.18E-08
0.261355949,0.408643903,3.18E-08
0.254990201,0.432459288,3.18E-08
0.291248886,0.404923769,3.18E-08
0.721588407,0.512005317,3.18E-08
0.7484745,0.50519965,3.18E-08
0.743343507,0.533436567,3.18E-08
0.531204513,0.589176719,3.18E-08
0.320691895,0.406395701,3.18E-08
0.311271161,0.42796309,3.18E-08
0.317866305,0.537746624,3.18E-08
0.320827722,0.508812563,3.18E-08
0.395724706,0.432317591,3.18E-08
0.421134626,0.419379128,3.18E-08
0.36662765,0.445553869,3.18E-08
0.369811226,0.416198744,3.18E-08
0.681974342,0.677815615,3.18E-08
0.650310758,0.684116458,3.18E-08
0.141375435,0.074962427,3.18E-08
0.16417925,0.0642493,3.18E-08
0.165435585,0.089478527,3.18E-08
0.050744546,0.041190999,3.18E-08
0.0689991,0.01552575,3.18E-08
0.371432149,0.231509032,3.18E-08
0.39656385,0.2219833,3.18E-08
0.394006399,0.248234932,3.18E-08
0.650943489,0.714804117,3.18E-08
0.696363784,0.521052003,3.18E-08
0.701494777,0.492815087,3.18E-08
0.573676293,0.851283926,3.18E-08
0.5632196,0.8668893,3.18E-08
0.558690293,0.839942826,3.18E-08
0.23486655,0.136534986,3.18E-08
0.2586482,0.12507595,3.18E-08
0.25833615,0.151971836,3.18E-08
0.613120864,0.643383446,3.18E-08
0.623670347,0.61502693,3.18E-08
0.585382599,0.639779225,3.18E-08
0.851509908,0.633521531,3.18E-08
0.821657661,0.640990126,3.18E-08
0.411352119,0.535161916,3.18E-08
0.059518146,0.535512409,3.18E-08
0.0516636,0.55344695,3.18E-08
0.042296946,0.528000359,3.18E-08
0.413123043,0.505938326,3.18E-08
